Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3525409;Interior;Jeriquara;351;3;;;
3525508;Interior;Joanópolis;1216;7;;;
3525607;Interior;João Ramalho;664;12;;;
3525706;Interior;José Bonifácio;6019;147;;;
3525805;Interior;Júlio Mesquita;343;14;;;
3525854;Interior;Jumirim;536;8;;;
3525904;Interior;Jundiaí;53820;1577;;;
3526001;Interior;Junqueirópolis;2209;92;;;
3526100;Interior;Juquiá;1895;58;;;
3526209;RMSP (exceto capital);Juquitiba;1782;76;;;
3526308;Interior;Lagoinha;237;12;;;
3526407;Interior;Laranjal Paulista;4529;117;;;
3526506;Interior;Lavínia;944;17;;;
3526605;Interior;Lavrinhas;332;5;;;
3526704;Interior;Leme;13614;422;;;
3526803;Interior;Lençóis Paulista;12235;185;;;
3526902;Interior;Limeira;23202;1029;;;
3527009;Interior;Lindóia;859;17;;;
3527108;Interior;Lins;9257;290;;;
3527207;Interior;Lorena;5376;137;;;
3527256;Interior;Lourdes;298;6;;;
3527306;Interior;Louveira;5416;106;;;
3527405;Interior;Lucélia;1921;60;;;
3527504;Interior;Lucianópolis;346;6;;;
3527603;Interior;Luís Antônio;2146;34;;;
3527702;Interior;Luiziânia;294;11;;;
3527801;Interior;Lupércio;266;8;;;
3527900;Interior;Lutécia;230;6;;;
3528007;Interior;Macatuba;2826;59;;;
3528106;Interior;Macaubal;1015;18;;;
3528205;Interior;Macedônia;469;26;;;
3528304;Interior;Magda;383;10;;;
3528403;Interior;Mairinque;4408;61;;;
3528502;RMSP (exceto capital);Mairiporã;6775;233;;;
3528601;Interior;Manduri;987;21;;;
3528700;Interior;Marabá Paulista;108;4;;;
3528809;Interior;Maracaí;2140;46;;;
3528858;Interior;Marapoama;488;14;;;
3528908;Interior;Mariápolis;287;9;;;
3529005;Interior;Marília;30978;958;;;
3529104;Interior;Marinópolis;229;5;;;
3529203;Interior;Martinópolis;1966;82;;;
3529302;Interior;Matão;5554;207;;;
3529401;RMSP (exceto capital);Mauá;31989;1529;;;
3529500;Interior;Mendonça;976;30;;;
3529609;Interior;Meridiano;365;30;;;
3529658;Interior;Mesópolis;283;5;;;
3529708;Interior;Miguelópolis;1512;95;;;
3529807;Interior;Mineiros do Tietê;1455;31;;;
3529906;Interior;Miracatu;2382;73;;;
3530003;Interior;Mira Estrela;356;13;;;
3530102;Interior;Mirandópolis;2225;106;;;
3530201;Interior;Mirante do Paranapanema;1254;43;;;
3530300;Interior;Mirassol;9983;277;;;
3530409;Interior;Mirassolândia;761;18;;;
